model,muestra, Python , Go , c++ 
Insertion_sort,100,0.257,1.106,1.908
Insertion_sort,100,0.246,1.137,1.899
Insertion_sort,100,0.252,1.222,1.944
Insertion_sort,100,0.24,1.175,1.835
Insertion_sort,100,0.296,1.198,1.896
Insertion_sort,1000,0.286,1.146,1.85
Insertion_sort,1000,0.288,1.159,1.83
Insertion_sort,1000,0.287,1.185,1.855
Insertion_sort,1000,0.281,1.154,1.828
Insertion_sort,1000,0.281,1.132,1.825
Insertion_sort,2000,0.401,1.37,1.881
Insertion_sort,2000,0.409,1.363,1.873
Insertion_sort,2000,0.434,1.294,1.85
Insertion_sort,2000,0.468,1.381,1.876
Insertion_sort,2000,0.399,1.397,1.898
Insertion_sort,3000,0.659,1.337,1.888
Insertion_sort,3000,0.826,1.341,1.954
Insertion_sort,3000,0.691,1.347,1.884
Insertion_sort,3000,0.735,1.356,1.891
Insertion_sort,3000,0.757,1.394,1.979
Insertion_sort,4000,0.898,1.331,1.903
Insertion_sort,4000,0.952,1.364,1.882
Insertion_sort,4000,0.961,1.342,1.881
Insertion_sort,4000,0.936,1.324,1.892
Insertion_sort,4000,0.929,1.368,1.92
Insertion_sort,5000,1.208,1.501,1.927
Insertion_sort,5000,1.262,1.43,1.935
Insertion_sort,5000,1.186,1.39,1.932
Insertion_sort,5000,1.262,1.354,1.928
Insertion_sort,5000,1.196,1.441,2.045
Insertion_sort,6000,1.613,1.422,1.959
Insertion_sort,6000,1.621,1.539,1.947
Insertion_sort,6000,1.629,1.449,1.938
Insertion_sort,6000,1.665,1.482,1.974
Insertion_sort,6000,1.638,1.456,1.922
Insertion_sort,7000,2.16,1.409,2.036
Insertion_sort,7000,2.097,1.423,2.09
Insertion_sort,7000,2.116,1.46,1.952
Insertion_sort,7000,2.099,1.496,1.962
Insertion_sort,7000,2.16,1.531,2.01
Insertion_sort,8000,2.73,1.487,1.957
Insertion_sort,8000,2.677,1.464,2.06
Insertion_sort,8000,2.692,1.457,2.022
Insertion_sort,8000,2.673,1.456,2.028
Insertion_sort,8000,2.674,1.476,1.961
Insertion_sort,9000,3.511,1.55,1.988
